dataset,template,rouge1,rougeL,fre
cnn,few_shot.txt,0.30167333333333335,0.18661333333333333,59.43637355535876
cnn,instruction_based.txt,0.31182,0.18104666666666666,63.64134054790668
cnn,pattern_based.txt,0.3206,0.18456,61.81320323507188
cnn,target_audience.txt,0.34182,0.19034666666666666,58.83543538031314
cnn,zero_shot.txt,0.31674,0.16894,60.91336360527654
xsum,few_shot.txt,0.05888,0.04274666666666667,106.10860683760687
xsum,instruction_based.txt,0.18448,0.11327333333333334,67.11918806839157
xsum,pattern_based.txt,0.18245333333333333,0.12891333333333332,71.27914842403975
xsum,target_audience.txt,0.19186666666666669,0.14532666666666666,69.53327337008788
xsum,zero_shot.txt,0.14160666666666666,0.09994666666666667,80.37449689563022
