dataset,template,mutation,rouge1,rougeL,fre
cnn,few_shot.txt,audience_information,0.44428,0.30534,55.95026837943188
cnn,few_shot.txt,none,0.44428,0.30534,55.95026837943188
cnn,few_shot.txt,prompt_rewriting,0.44428,0.30534,55.95026837943188
cnn,few_shot.txt,stepwise_prompt,0.44428,0.30534,55.95026837943188
cnn,few_shot.txt,style_instruction,0.44428,0.30534,55.95026837943188
cnn,few_shot.txt,synonym_replacement,0.4333,0.30562,56.35776979914199
cnn,instruction_based.txt,audience_information,0.47065999999999997,0.33487999999999996,64.44579938729468
cnn,instruction_based.txt,none,0.46728000000000003,0.32667999999999997,64.99033441558444
cnn,instruction_based.txt,prompt_rewriting,0.46498,0.32944,64.2539817772318
cnn,instruction_based.txt,stepwise_prompt,0.47576,0.31829999999999997,65.54939393939397
cnn,instruction_based.txt,style_instruction,0.48278,0.34662,64.18775865800868
cnn,instruction_based.txt,synonym_replacement,0.42778,0.30588000000000004,57.05871753246756
cnn,pattern_based.txt,audience_information,0.46182,0.32152000000000003,58.52940431871988
cnn,pattern_based.txt,none,0.40194,0.27584,54.98206843778989
cnn,pattern_based.txt,prompt_rewriting,0.40194,0.27584,54.98206843778989
cnn,pattern_based.txt,stepwise_prompt,0.41034,0.27556,56.620748998448825
cnn,pattern_based.txt,style_instruction,0.42400000000000004,0.27158000000000004,57.98112106936884
cnn,pattern_based.txt,synonym_replacement,0.42679999999999996,0.27004,55.509821006562404
cnn,target_audience.txt,audience_information,0.37656,0.24497999999999998,55.82957329785286
cnn,target_audience.txt,none,0.3779,0.2545,53.62948402430781
cnn,target_audience.txt,prompt_rewriting,0.37656,0.24497999999999998,55.82957329785286
cnn,target_audience.txt,stepwise_prompt,0.41891999999999996,0.28296,59.651859924269914
cnn,target_audience.txt,style_instruction,0.38066,0.24922,56.16907240658726
cnn,target_audience.txt,synonym_replacement,0.37696,0.25386,52.89354845007811
cnn,zero_shot.txt,audience_information,0.39337999999999995,0.27827999999999997,52.13925792993784
cnn,zero_shot.txt,none,0.3897,0.27366,52.478052292894404
cnn,zero_shot.txt,prompt_rewriting,0.46058000000000004,0.31936,59.0902354103697
cnn,zero_shot.txt,stepwise_prompt,0.39337999999999995,0.27827999999999997,52.13925792993784
cnn,zero_shot.txt,style_instruction,0.38838,0.27486,54.862032704712625
cnn,zero_shot.txt,synonym_replacement,0.38866,0.27218,55.12656425153796
xsum,few_shot.txt,audience_information,0.19386,0.14923999999999998,48.69351362647916
xsum,few_shot.txt,none,0.20973999999999998,0.14374,36.90200900596064
xsum,few_shot.txt,prompt_rewriting,0.20792000000000002,0.14950000000000002,45.339043839943855
xsum,few_shot.txt,stepwise_prompt,0.19344,0.1433,46.08937674037676
xsum,few_shot.txt,style_instruction,0.17472,0.13002,42.51719554062414
xsum,few_shot.txt,synonym_replacement,0.19416,0.14744000000000002,47.412139138467346
xsum,instruction_based.txt,audience_information,0.22010000000000002,0.13368,52.99480029124195
xsum,instruction_based.txt,none,0.21234000000000003,0.12065999999999999,59.525516399694915
xsum,instruction_based.txt,prompt_rewriting,0.22010000000000002,0.13368,52.99480029124195
xsum,instruction_based.txt,stepwise_prompt,0.21234000000000003,0.13716,55.788583256024914
xsum,instruction_based.txt,style_instruction,0.22010000000000002,0.13368,52.99480029124195
xsum,instruction_based.txt,synonym_replacement,0.22168000000000002,0.13094,54.98091228070177
xsum,pattern_based.txt,audience_information,0.20188,0.14876,59.68151782217001
xsum,pattern_based.txt,none,0.22936,0.16586,62.136779039051916
xsum,pattern_based.txt,prompt_rewriting,0.21944,0.16016,60.94518469834852
xsum,pattern_based.txt,stepwise_prompt,0.21680000000000002,0.15662,59.46420829836048
xsum,pattern_based.txt,style_instruction,0.22602000000000003,0.16584,56.09089233954453
xsum,pattern_based.txt,synonym_replacement,0.18846,0.13964,58.522406236040396
xsum,target_audience.txt,audience_information,0.2233,0.15468,53.28725294161533
xsum,target_audience.txt,none,0.20548000000000002,0.15066000000000002,55.43618491440444
xsum,target_audience.txt,prompt_rewriting,0.19978,0.14226,54.24596161968115
xsum,target_audience.txt,stepwise_prompt,0.20144,0.14948,57.82446161968115
xsum,target_audience.txt,style_instruction,0.20042,0.14274,53.99814277910144
xsum,target_audience.txt,synonym_replacement,0.21558000000000002,0.16228,56.42220353491323
xsum,zero_shot.txt,audience_information,0.21812,0.15536,53.28282544596789
xsum,zero_shot.txt,none,0.2012,0.14406000000000002,54.758153489652656
xsum,zero_shot.txt,prompt_rewriting,0.1879,0.12008,58.17577501761807
xsum,zero_shot.txt,stepwise_prompt,0.23022,0.1699,50.38382137161087
xsum,zero_shot.txt,style_instruction,0.21022,0.15926,49.74157812023858
xsum,zero_shot.txt,synonym_replacement,0.13282,0.10746,54.38809696538645
